MASSIVETHREAD breakdown Threads: 1, Total: 21.944760, Create: 21.944748, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.986191, Create: 21.986178, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.026659, Create: 22.026647, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.997042, Create: 21.997027, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.938328, Create: 21.938321, Yield: 0.000006, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.143770, Create: 22.143764, Yield: 0.000005, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.940482, Create: 21.940466, Yield: 0.000016, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.937549, Create: 21.937540, Yield: 0.000008, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.942311, Create: 21.942306, Yield: 0.000005, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.940191, Create: 21.940183, Yield: 0.000007, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.926382, Create: 21.926376, Yield: 0.000005, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.930284, Create: 21.930279, Yield: 0.000005, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.320162, Create: 22.320155, Yield: 0.000006, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.941222, Create: 21.941216, Yield: 0.000005, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.952815, Create: 21.952809, Yield: 0.000005, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.958441, Create: 21.958436, Yield: 0.000005, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.952160, Create: 21.952153, Yield: 0.000006, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.956427, Create: 21.956416, Yield: 0.000010, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.935654, Create: 21.935643, Yield: 0.000011, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.930346, Create: 21.930341, Yield: 0.000005, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.052850, Create: 22.052838, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.949252, Create: 21.949246, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.067246, Create: 22.067234, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.929381, Create: 21.929373, Yield: 0.000007, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.016948, Create: 22.016940, Yield: 0.000008, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.972759, Create: 21.972747, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.927629, Create: 21.927615, Yield: 0.000014, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.174903, Create: 22.174890, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.931068, Create: 21.931057, Yield: 0.000011, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.928822, Create: 21.928816, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.930323, Create: 21.930309, Yield: 0.000013, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.046921, Create: 22.046909, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.988786, Create: 21.988772, Yield: 0.000013, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.936799, Create: 21.936793, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.948352, Create: 21.948346, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.952110, Create: 21.952096, Yield: 0.000014, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.954828, Create: 21.954822, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.942900, Create: 21.942894, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.930991, Create: 21.930978, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.931554, Create: 21.931548, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.344444, Create: 22.344437, Yield: 0.000006, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.944213, Create: 21.944201, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.941380, Create: 21.941368, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.129105, Create: 22.129093, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.934860, Create: 21.934849, Yield: 0.000011, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.929602, Create: 21.929589, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.988934, Create: 21.988921, Yield: 0.000013, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.984507, Create: 21.984500, Yield: 0.000006, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.018592, Create: 22.018580, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.091459, Create: 22.091450, Yield: 0.000008, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.190320, Create: 22.190314, Yield: 0.000005, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.209591, Create: 22.209583, Yield: 0.000007, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.216185, Create: 22.216179, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.937474, Create: 21.937466, Yield: 0.000008, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.933853, Create: 21.933847, Yield: 0.000005, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.990079, Create: 21.990073, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.978949, Create: 21.978943, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.934175, Create: 21.934169, Yield: 0.000005, Join: 0.000001
