ARGOBOTS breakdown Threads: 1, Total: 21.910718, Create: 0.000002, Yield: 21.910703, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.844219, Create: 0.000002, Yield: 21.844205, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.844801, Create: 0.000002, Yield: 21.844786, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.842549, Create: 0.000002, Yield: 21.842539, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.857403, Create: 0.000002, Yield: 21.857392, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.841521, Create: 0.000002, Yield: 21.841510, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.841434, Create: 0.000002, Yield: 21.841420, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.849802, Create: 0.000002, Yield: 21.849787, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.846546, Create: 0.000002, Yield: 21.846534, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.858804, Create: 0.000002, Yield: 21.858790, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.851905, Create: 0.000002, Yield: 21.851895, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.968442, Create: 0.000002, Yield: 21.968432, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.896858, Create: 0.000001, Yield: 21.896846, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.853688, Create: 0.000002, Yield: 21.853678, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.845897, Create: 0.000002, Yield: 21.845887, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.852262, Create: 0.000002, Yield: 21.852252, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.865191, Create: 0.000001, Yield: 21.865182, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.862128, Create: 0.000002, Yield: 21.862118, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.856525, Create: 0.000002, Yield: 21.856515, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.917134, Create: 0.000002, Yield: 21.917124, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.880958, Create: 0.000003, Yield: 21.880947, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.846616, Create: 0.000002, Yield: 21.846606, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.856316, Create: 0.000002, Yield: 21.856306, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.841906, Create: 0.000002, Yield: 21.841895, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.842723, Create: 0.000002, Yield: 21.842714, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.846384, Create: 0.000002, Yield: 21.846373, Join: 0.000009
